,Name_URL,Name,Name1,CoreCount,PerformanceCoreClock,PerformanceBoostClock,TDP,IntegratedGraphics,SMT
68,https://pcpartpicker.com/product/t7CFf7/amd-ryzen-9-3950x-35-ghz-16-core-processor-100-100000051wof,https://cdna.pcpartpicker.com/static/forever/images/product/bb4c0b72e3f78893b1e5b19ab570b2c1.256p.jpg,amd ryzen 9 3950x,16,3.5,4.7,105.0,None,Yes
69,https://pcpartpicker.com/product/wWsKHx/intel-cpu-eu80571ph0673m,https://cdna.pcpartpicker.com/static/forever/images/product/0ce96ac1818c47c739db32a18461ef4f.256p.jpg,intel core 2 duo e7300,2,2.66,,65.0,None,No
70,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,https://images-na.ssl-images-amazon.com/images/I/51eUdKTIcsL.jpg,intel core i7-4790k,4,4.0,4.4,88.0,Intel HD Graphics 4600,Yes
71,https://pcpartpicker.com/product/K3Z9TW/intel-core-i5-11600kf-39-ghz-6-core-processor-bx8070811600kf,https://cdna.pcpartpicker.com/static/forever/images/product/f9223631f303e54d9bd4aa9967c1f287.256p.jpg,intel core i5-11600kf,6,3.9,4.9,125.0,None,Yes
72,https://pcpartpicker.com/product/XP6qqs/amd-ryzen-5-3400g-37-ghz-quad-core-processor-ryzen-5-3400g,https://cdna.pcpartpicker.com/static/forever/images/product/43e2914b40ccb9ab7ce39eb656db3b44.256p.jpg,amd ryzen 5 3400g,4,3.7,4.2,65.0,Radeon Vega 11,Yes
73,https://pcpartpicker.com/product/QDcG3C/intel-core-i7-11700f-25-ghz-8-core-processor-bx8070811700f,https://cdna.pcpartpicker.com/static/forever/images/product/fd3cc64653e9040372bb3570a019e71e.256p.jpg,intel core i7-11700f,8,2.5,4.9,65.0,None,Yes
74,https://pcpartpicker.com/product/C9hj4D/intel-core-i7-8700-32ghz-6-core-processor-bx80684i78700,https://cdna.pcpartpicker.com/static/forever/images/product/f3ce94aa244dd18d676b1f63f20001cd.256p.jpg,intel core i7-8700,6,3.2,4.6,65.0,Intel UHD Graphics 630,Yes
75,https://pcpartpicker.com/product/LHYWGX/intel-core-i5-8400-28ghz-6-core-processor-bx80684i58400,https://cdna.pcpartpicker.com/static/forever/images/product/066a1b8f33dd5d26a14a4a76eb254032.256p.jpg,intel core i5-8400,6,2.8,4.0,65.0,Intel UHD Graphics 630,No
76,https://pcpartpicker.com/product/dLK2FT/intel-core-i7-10700-29-ghz-8-core-processor-bx8070110700,https://cdna.pcpartpicker.com/static/forever/images/product/6e4a9298687049841d3cb15170acc4cc.256p.jpg,intel core i7-10700,8,2.9,4.8,65.0,Intel UHD Graphics 630,Yes
77,https://pcpartpicker.com/product/JpJgXL/intel-core-i9-12900-24-ghz-16-core-processor-bx8071512900,https://cdna.pcpartpicker.com/static/forever/images/product/b61a0cfda1c9f56fda7c2f91dacd9046.256p.jpg,intel core i9-12900,16,2.4,5.1,65.0,Intel UHD Graphics 770,Yes
78,https://pcpartpicker.com/product/vDXJ7P/intel-core-i9-12900f-24-ghz-16-core-processor-bx8071512900f,https://cdna.pcpartpicker.com/static/forever/images/product/c709a7db2862582c1870c1b399fd7499.256p.jpg,intel core i9-12900f,16,2.4,5.1,65.0,None,Yes
79,https://pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105,https://cdna.pcpartpicker.com/static/forever/images/product/f4e07d2c312edb86a1afe494ed5cd645.256p.jpg,intel core i3-10105,4,3.7,4.4,65.0,Intel UHD Graphics 630,Yes
80,https://pcpartpicker.com/product/CT3mP6/intel-core-i9-10900kf-37-ghz-10-core-processor-bx8070110900kf,https://cdna.pcpartpicker.com/static/forever/images/product/02b522d67f1855b6e2916d800eb38bcf.256p.jpg,intel core i9-10900kf,10,3.7,5.3,125.0,None,Yes
81,https://pcpartpicker.com/product/gx648d/intel-cpu-bx80662i56600k,https://cdna.pcpartpicker.com/static/forever/images/product/39c7a343d00445b6e0e5d54d4b7ed561.256p.jpg,intel core i5-6600k,4,3.5,3.9,91.0,Intel HD Graphics 530,No
82,https://pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400,https://cdna.pcpartpicker.com/static/forever/images/product/ab31eff2865edb93498c3ab8707d4c71.256p.jpg,intel pentium gold g6400,2,4.0,,58.0,Intel UHD Graphics 610,Yes
83,https://pcpartpicker.com/product/9wfFf7/amd-ryzen-7-3800xt-39-ghz-8-core-processor-100-100000279wof,https://cdna.pcpartpicker.com/static/forever/images/product/7d225094c05f3106b9e7aab3873a6631.256p.jpg,amd ryzen 7 3800xt,8,3.9,4.7,105.0,None,Yes
